%  Hoz Distance[m]    Altitude[m]
   9.1782448e+03   3.4489443e+01
   9.2459036e+03   3.3683077e+01
   9.2800150e+03   3.3290504e+01
   9.3330747e+03   3.3385995e+01
   9.4035781e+03   3.3460265e+01
   9.4436608e+03   3.3396605e+01
   9.4597409e+03   3.3428435e+01
   9.4765968e+03   3.3428435e+01
   9.4934528e+03   3.3428435e+01
   9.5159038e+03   3.3428435e+01
   9.6026048e+03   3.3057082e+01
   9.7317394e+03   3.2940371e+01
   9.8524108e+03   3.2940371e+01
   9.9090674e+03   3.2855491e+01
   9.9259233e+03   3.2823660e+01
   9.9427557e+03   3.2823660e+01
   9.9596116e+03   3.2823660e+01
   9.9773139e+03   3.2834271e+01
   1.0066319e+04   3.2887321e+01
   1.0119190e+04   3.2950981e+01
   1.0248348e+04   3.3014642e+01
   1.0296612e+04   3.3025252e+01
   1.0377483e+04   3.3184403e+01
   1.0506641e+04   3.3301114e+01
   1.0605026e+04   3.4362122e+01
   1.0644827e+04   3.4860796e+01
   1.0703435e+04   3.4797135e+01
   1.0796460e+04   3.4828966e+01
   1.0813315e+04   3.4828966e+01
   1.0824553e+04   3.4828966e+01
   1.0942097e+04   3.4828966e+01
   1.1059642e+04   3.4828966e+01
   1.1177187e+04   3.4855491e+01
   1.1294732e+04   3.4903236e+01
   1.1412276e+04   3.4924456e+01
   1.1529821e+04   3.4945676e+01
   1.1647366e+04   3.4956286e+01
   1.1764911e+04   3.4972202e+01
   1.1882455e+04   3.4972202e+01
   1.2000000e+04   3.4972202e+01
